1946_1	1946_1	To the Congress of the United States:  
1961_62	1961_62	Finally, while our attention is centered on the development of the non_  communist world, we must never forget our hopes for the ultimate freedom  and welfare of the Eastern European peoples. In order to be prepared to  help re_establish historic ties of friendship, I am asking the Congress  for increased discretion to use economic tools in this area whenever  this is found to be clearly in the national interest. This will require  amendment of the Mutual Defense Assistance Control Act along the lines I  proposed as a member of the Senate, and upon which the Senate voted last  summer. Meanwhile, I hope to explore with the Polish government the  possibility of using our frozen Polish funds on projects of peace that  will demonstrate our abiding friendship for and interest in the people  of Poland.  
1961_63	1961_63	Third, we must sharpen our political and diplomatic tools the means of  cooperation and agreement on which an enforceable world order must  ultimately rest.  
1961_69	1961_69	 we shall work to see that the integrity of the office of the  Secretary_General is maintained.  
1961_70	1961_70	 And I would address a special plea to the smaller nations of the  world to join with us in strengthening this organization, which is far  more essential to their security than it is to ours the only body in the  world where no nation need be powerful to be secure, where every nation has  an equal voice, and where any nation can exert influence not according to  the strength of its armies but according to the strength of its ideas. It  deserves the support of all.  
1961_71	1961_71	Finally, this Administration intends to explore promptly all possible areas  of cooperation with the Soviet Union and other nations "to invoke the  wonders of science instead of its terrors." Specifically, I now invite all  nations including the Soviet Union to join with us in developing a  weather prediction program, in a new communications satellite program and  in preparation for probing the distant planets of Mars and Venus, probes  which may someday unlock the deepest secrets of the universe.  
1961_72	1961_72	Today this country is ahead in the science and technology of space, while  the Soviet Union is ahead in the capacity to lift large vehicles into  orbit. Both nations would help themselves as well as other nations by  removing these endeavors from the bitter and wasteful competition of the  Cold War. The United States would be willing to join with the Soviet Union  and the scientists of all nations in a greater effort to make the fruits  of this new knowledge available to all and, beyond that, in an effort to  extend farm technology to hungry nations to wipe out disease to increase  the exchanges of scientists and their knowledge and to make our own  laboratories available to technicians of other lands who lack the  facilities to pursue their own work. Where nature makes natural allies of  us all, we can demonstrate that beneficial relations are possible even  with those with whom we most deeply disagree and this must someday be the  basis of world peace and world law.  
1961_77	1961_77	We cannot escape our dangers neither must we let them drive us into panic  or narrow isolation. In many areas of the world where the balance of power  already rests with our adversaries, the forces of freedom are sharply  divided. It is one of the ironies of our time that the techniques of a  harsh and repressive system should be able to instill discipline and ardor  in its servants while the blessings of liberty have too often stood for  privilege, materialism and a life of ease.  
1961_78	1961_78	But I have a different view of liberty.  
1961_80	1961_80	In the words of a great President, whose birthday we honor today, closing  his final State of the Union Message sixteen years ago, "We pray that we  may be worthy of the unlimited opportunities that God has given us."  
1962_7	1962_7	At home, we began the year in the valley of recession we completed it on  the high road of recovery and growth. With the help of new Congressionally  approved or Administratively increased stimulants to our economy, the  number of major surplus labor areas has declined from 101 to 60;  non_agricultural employment has increased by more than a million jobs; and  the average factory work_week has risen to well over 40 hours. At year's  end the economy which Mr. Khrushchev once called a "stumbling horse" was  racing to new records in consumer spending, labor income, and industrial  production.  
1962_10	1962_10	(2) Second, the Youth Employment Opportunities Act, to help train and place  not only the one million young Americans who are both out of school and out  of work, but the twenty_six million young Americans entering the labor  market in this decade; and  
1962_18	1962_18	But recession is only one enemy of a free economy inflation is another.  Last year, 1961, despite rising production and demand, consumer prices held  almost steady and wholesale prices declined. This is the best record of  overall price stability of any comparable period of recovery since the end  of World War II.  
1962_20	1962_20	Our first line of defense against inflation is the good sense and public  spirit of business and labor keeping their total increases in wages and  profits in step with productivity. There is no single statistical test to  guide each company and each union. But I strongly urge them for their  country's interest, and for their own to apply the test of the public  interest to these transactions.  
1962_24	1962_24	 We are holding the fiscal 1962 budget deficit far below the level  incurred after the last recession in 1958; and, finally,  
1962_26	1962_26	This is a joint responsibility, requiring Congressional cooperation on  appropriations, and on three sources of income in particular:  
1962_30	1962_30	III. GETTING AMERICA MOVING  
1962_32	1962_32	CITIES  
1962_35	1962_35	A strong America also depends on its farms and natural resources. American  farmers took heart in 1961 from a billion dollar rise in farm income and  from a hopeful start on reducing the farm surpluses. But we are still  operating under a patchwork accumulation of old laws, which cost us $1  billion a year in CCC carrying charges alone, yet fail to halt rural  poverty or boost farm earnings.  
1962_37	1962_37	I will, therefore, submit to the Congress a new comprehensive farm  program tailored to fit the use of our land and the supplies of each crop  to the long_range needs of the sixties and designed to prevent chaos in  the sixties with a program of common sense.  
1962_41	1962_41	I issued last March a comprehensive order to guarantee the right to equal  employment opportunity in all Federal agencies and contractors. The Vice  President's Committee thus created has done much, including the voluntary  "Plans for Progress" which, in all sections of the country, are achieving a  quiet but striking success in opening up to all races new professional,  supervisory, and other job opportunities.  
1962_42	1962_42	But there is much more to be done by the Executive, by the courts, and by  the Congress. Among the bills now pending before you, on which the  executive departments will comment in detail, are appropriate methods of  strengthening these basic rights which have our full support. The right to  vote, for example, should no longer be denied through such arbitrary  devices on a local level, sometimes abused, such as literacy tests and poll  taxes. As we approach the 100th anniversary, next January, of the  Emancipation Proclamation, let the acts of every branch of the  Government and every citizen portray that "righteousness does exalt a  nation."  
1962_45	1962_45	Last year, we improved the diet of needy people provided more hot lunches  and fresh milk to school children built more college dormitories and, for  the elderly, expanded private housing, nursing homes, health services, and  social security. But we have just begun.  
1962_48	1962_48	To take advantage of modern vaccination achievements, I am proposing a mass  immunization program, aimed at the virtual elimination of such ancient  enemies of our children as polio, diphtheria, whooping cough, and tetanus.  
1962_54	1962_54	Equally important to our strength is the quality of our education. Eight  million adult Americans are classified as functionally illiterate. This is  a disturbing figure reflected in Selective Service rejection  rates reflected in welfare rolls and crime rates. And I shall recommend  plans for a massive attack to end this adult illiteracy.  
1962_56	1962_56	If this Nation is to grow in wisdom and strength, then every able high  school graduate should have the opportunity to develop his talents. Yet  nearly half lack either the funds or the facilities to attend college.  Enrollments are going to double in our colleges in the short space of 10  years. The annual cost per student is skyrocketing to astronomical  levels now averaging $1,650 a year, although almost half of our families  earn less than $5,000. They cannot afford such costs but this Nation  cannot afford to maintain its military power and neglect its brainpower.  
1962_57	1962_57	But excellence in education must begin at the elementary level. I sent to  the Congress last year a proposal for Federal aid to public school  construction and teachers' salaries. I believe that bill, which passed the  Senate and received House Committee approval, offered the minimum amount  required by our needs and in terms of across_the_board aid the maximum  scope permitted by our Constitution. I therefore see no reason to weaken or  withdraw that bill: and I urge its passage at this session.  
1962_58	1962_58	"Civilization," said H. G. Wells, "is a race between education and  catastrophe." It is up to you in this Congress to determine the winner of  that race.  
1962_59	1962_59	These are not unrelated measures addressed to specific gaps or grievances  in our national life. They are the pattern of our intentions and the  foundation of our hopes. "I believe in democracy," said Woodrow Wilson,  "because it releases the energy of every human being." The dynamic of  democracy is the power and the purpose of the individual, and the policy of  this administration is to give to the individual the opportunity to realize  his own highest possibilities.  
1962_60	1962_60	Our program is to open to all the opportunity for steady and productive  employment, to remove from all the handicap of arbitrary or irrational  exclusion, to offer to all the facilities for education and health and  welfare, to make society the servant of the individual and the individual  the source of progress, and thus to realize for all the full promise of  American life.  
1962_62	1962_62	All of these efforts at home give meaning to our efforts abroad. Since the  close of the Second World War, a global civil war has divided and tormented  mankind. But it is not our military might, or our higher standard of  living, that has most distinguished us from our adversaries. It is our  belief that the state is the servant of the citizen and not his master.  
1962_64	1962_64	Yet our basic goal remains the same: a peaceful world community of free and  independent states free to choose their own future and their own system,  so long as it does not threaten the freedom of others.  
1962_71	1962_71	V. OUR MILITARY STRENGTH  
1962_75	1962_75	Thus we have doubled the number of ready combat divisions in the Army's  strategic reserve increased our troops in Europe built up the  Marines added new sealift and airlift capacity modernized our weapons and  ammunition expanded our anti_guerrilla forces and increased the active  fleet by more than 70 vessels and our tactical air forces by nearly a dozen  wings.  
1962_77	1962_77	In the coming year, our reserve programs will be revised two Army  Divisions will, I hope, replace those Guard Divisions on duty and  substantial other increases will boost our Air Force fighter units, the  procurement of equipment, and our continental defense and warning efforts.  The Nation's first serious civil defense shelter program is under way,  identifying, marking, and stocking 50 million spaces; and I urge your  approval of Federal incentives for the construction of public fall_out  shelters in schools and hospitals and similar centers.  
1962_80	1962_80	In 1961 the peace_keeping strength of the United Nations was reinforced.  And those who preferred or predicted its demise, envisioning a troika in  the seat of Hammarskjold or Red China inside the Assembly have seen  instead a new vigor, under a new Secretary General and a fully independent  Secretariat. In making plans for a new forum and principles on disarmament   for peace_keeping in outer space for a decade of development effort the  UN fulfilled its Charter's lofty aim.  
1962_81	1962_81	Eighteen months ago the tangled and turbulent Congo presented the UN with  its gravest challenge. The prospect was one of chaos or certain big_power  confrontation, with all of its hazards and all of its risks, to us and to  others. Today the hopes have improved for peaceful conciliation within a  united Congo. This is the objective of our policy in this important area.  
1962_82	1962_82	No policeman is universally popular particularly when he uses his stick to  restore law and order on his beat. Those members who are willing to  contribute their votes and their views but very little else have created  a serious deficit by refusing to pay their share of special UN assessments.  Yet they do pay their annual assessments to retain their votes and a new  UN Bond issue, financing special operations for the next 18 months, is to  be repaid with interest from these regular assessments. This is clearly in  our interest. It will not only keep the UN solvent, but require all voting  members to pay their fair share of its activities. Our share of special  operations has long been much higher than our share of the annual  assessment and the bond issue will in effect reduce our disproportionate  obligation, and for these reasons, I am urging Congress to approve our  participation.  
1962_88	1962_88	I turn now to a prospect of great promise: our Hemispheric relations. The  Alliance for Progress is being rapidly transformed from proposal to  program. Last month in Latin America I saw for myself the quickening of  hope, the revival of confidence, the new trust in our country among  workers and farmers as well as diplomats. We have pledged our help in  speeding their economic, educational, and social progress. The Latin  American Republics have in turn pledged a new and strenuous effort of  self_help and self_reform.  
1962_90	1962_90	VIII. THE NEW AND DEVELOPING NATIONS  
1962_92	1962_92	A newly conceived Peace Corps is winning friends and helping people in  fourteen countries supplying trained and dedicated young men and women, to  give these new nations a hand in building a society, and a glimpse of the  best that is in our country. If there is a problem here, it is that we  cannot supply the spontaneous and mounting demand.  
1962_94	1962_94	These programs help people; and, by helping people, they help freedom. The  views of their governments may sometimes be very different from ours but  events in Africa, the Middle East, and Eastern Europe teach us never to  write off any nation as lost to the Communists. That is the lesson of our  time. We support the independence of those newer or weaker states whose  history, geography, economy or lack of power impels them to remain outside  "entangling alliances" as we did for more than a century. For the  independence of nations is a bar to the Communists' "grand design" it is  the basis of our own.  
1962_98	1962_98	Finally, the united strength of the Atlantic Community has flourished in  the last year under severe tests. NATO has increased both the number and  the readiness of its air, ground, and naval units both its nuclear and  non_nuclear capabilities. Even greater efforts by all its members are still  required. Nevertheless our unity of purpose and will has been, I believe,  immeasurably strengthened.  
1962_102	1962_102	The emergence of the new Europe is being matched by the emergence of new  ties across the Atlantic. It is a matter of undramatic daily cooperation in  hundreds of workaday tasks: of currencies kept in effective relation, of  development loans meshed together, of standardized weapons, and concerted  diplomatic positions. The Atlantic Community grows, not like a volcanic  mountain, by one mighty explosion, but like a coral reef, from the  accumulating activity of all.  
1962_104	1962_104	X. OUR BALANCE OF PAYMENTS  
1962_107	1962_107	We shall continue to attract foreign tourists and investments to our  shores, to seek increased military purchases here by our allies, to  maximize foreign aid procurement from American firms, to urge increased aid  from other fortunate nations to the less fortunate, to seek tax laws which  do not favor investment in other industrialized nations or tax havens, and  to urge coordination of allied fiscal and monetary policies so as to  discourage large and disturbing capital movements.  
1962_109	1962_109	Above all, if we are to pay for our commitments abroad, we must expand our  exports. Our businessmen must be export conscious and export competitive.  Our tax policies must spur modernization of our plants our wage and price  gains must be consistent with productivity to hold the line on prices our  export credit and promotion campaigns for American industries must continue  to expand.  
1962_110	1962_110	But the greatest challenge of all is posed by the growth of the European  Common Market. Assuming the accession of the United Kingdom, there will  arise across the Atlantic a trading partner behind a single external tariff  similar to ours with an economy which nearly equals our own. Will we in  this country adapt our thinking to these new prospects and patterns or  will we wait until events have passed us by?  
1962_111	1962_111	This is the year to decide. The Reciprocal Trade Act is expiring. We need a  new law a wholly new approach a bold new instrument of American trade  policy. Our decision could well affect the unity of the West, the course of  the Cold War, and the economic growth of our Nation for a generation to  come.  
1962_115	1962_115	To seize that initiative, I shall shortly send to the Congress a new  five_year Trade Expansion Action, far_reaching in scope but designed with  great care to make certain that its benefits to our people far outweigh any  risks. The bill will permit the gradual elimination of tariffs here in the  United States and in the Common Market on those items in which we together  supply 80 percent of the world's trade mostly items in which our own  ability to compete is demonstrated by the fact that we sell abroad, in  these items, substantially more than we import. This step will make it  possible for our major industries to compete with their counterparts in  Western Europe for access to European consumers.  
1962_116	1962_116	On other goods the bill will permit a gradual reduction of duties up to 50  percent permitting bargaining by major categories and provide for  appropriate and tested forms of assistance to firms and employees adjusting  to import competition. We are not neglecting the safeguards provided by  peril points, an escape clause, or the National Security Amendment. Nor are  we abandoning our non_European friends or our traditional "most_favored  nation" principle. On the contrary, the bill will provide new encouragement  for their sale of tropical agricultural products, so important to our  friends in Latin America, who have long depended upon the European market,  who now find themselves faced with new challenges which we must join with  them in overcoming.  
1962_117	1962_117	Concessions, in this bargaining, must of course be reciprocal, not  unilateral. The Common Market will not fulfill its own high promise unless  its outside tariff walls are low. The dangers of restriction or timidity in  our own policy have counterparts for our friends in Europe. For together we  face a common challenge: to enlarge the prosperity of free men  everywhere to build in partnership a new trading community in which all  free nations may gain from the productive energy of free competitive  effort.  
1963_2	1963_2	I congratulate you all not merely on your electoral victory but on your  selected role in history. For you and I are privileged to serve the great  Republic in what could be the most decisive decade in its long history. The  choices we make, for good or ill, may well shape the state of the Union for  generations yet to come.  
1963_3	1963_3	Little more than 100 weeks ago I assumed the office of President of the  United States. In seeking the help of the Congress and our countrymen, I  pledged no easy answers. I pledged and asked only toil and dedication.  These the Congress and the people have given in good measure. And today,  having witnessed in recent months a heightened respect for our national  purpose and power having seen the courageous calm of a united people in  a perilous hour and having observed a steady improvement in the  opportunities and well_being of our citizens I can report to you that  the state of this old but youthful Union, in the 175th year of its life,  is good.  
1963_4	1963_4	In the world beyond our borders, steady progress has been made in building  a world of order. The people of West Berlin remain both free and secure. A  settlement, though still precarious, has been reached in Laos. The  spearpoint of aggression has been blunted in Viet_Nam. The end of agony may  be in sight in the Congo. The doctrine of troika is dead. And, while danger  continues, a deadly threat has been removed in Cuba.  
1963_7	1963_7	But we cannot be satisfied to rest here. This is the side of the hill, not  the top. The mere absence of war is not peace. The mere absence of  recession is not growth. We have made a beginning but we have only begun.  
1963_11	1963_11	For this would mean tens of billions of dollars more each year in  production, profits, wages, and public revenues. It would mean an end to  the persistent slack which has kept our unemployment at or above 5 percent  for 61 out of the past 62 months and an end to the growing pressures for  such restrictive measures as the 35_hour week, which alone could increase  hourly labor costs by as much as 14 percent, start a new wage_price spiral  of inflation, and undercut our efforts to compete with other nations.  
1963_13	1963_13	For it is increasingly clear to those in Government, business, and labor  who are responsible for our economy's success that our obsolete tax system  exerts too heavy a drag on private purchasing power, profits, and  employment. Designed to check inflation in earlier years, it now checks  growth instead. It discourages extra effort and risk. It distorts the use  of resources. It invites recurrent recessions, depresses our Federal  revenues, and causes chronic budget deficits.  
1963_16	1963_16	To achieve this reduction within the limits of a manageable budgetary  deficit, I urge: first, that these cuts be phased over 3 calendar years,  beginning in 1963 with a cut of some $6 billion at annual rates; second,  that these reductions be coupled with selected structural changes,  beginning in 1964, which will broaden the tax base, end unfair or  unnecessary preferences, remove or lighten certain hardships, and in the  net offset some $3.5 billion of the revenue loss; and third, that budgetary  receipts at the outset be increased by $1.5 billion a year, without any  change in tax liabilities, by gradually shifting the tax payments of large  corporations to a more current time schedule. This combined program, by  increasing the amount of our national income, will in time result in still  higher Federal revenues. It is a fiscally responsible program the surest  and the soundest way of achieving in time a balanced budget in a balanced  full employment economy.  
1963_18	1963_18	I do not say that a measure for tax reduction and reform is the only way to  achieve these goals.  
1963_21	1963_21	No doubt a reduction in either individual or corporation taxes alone  would be of great help but corporations need customers and job seekers  need jobs.  
1963_23	1963_23	And finally, there are no doubt some who would prefer to put off a tax  cut in the hope that ultimately an end to the cold war would make possible  an equivalent cut in expenditures but that end is not in view and to wait  for it would be costly and self_defeating.  
1963_26	1963_26	II.  
1963_30	1963_30	Therefore, by holding down the budgetary cost of existing programs to keep  within the limitations I have set, it is both possible and imperative to  adopt other new measures that we cannot afford to postpone.  
1963_38	1963_38	Moreover, all our miracles of medical research will count for little if  we cannot reverse the growing nationwide shortage of doctors, dentists, and  nurses, and the widespread shortages of nursing homes and modern urban  hospital facilities. Merely to keep the present ratio of doctors and  dentists from declining any further, we must over the next 10 years  increase the capacity of our medical schools by 50 percent and our dental  schools by 100 percent.  
1963_40	1963_40	Third, we need to strengthen our Nation by protecting the basic rights of  its citizens.  
1963_41	1963_41	The right to competent counsel must be assured to every man accused of  crime in Federal court, regardless of his means.  
1963_43	1963_43	Fourth, we need to strengthen our Nation by making the best and the most  economical use of its resources and facilities.  
1963_48	1963_48	We shall be judged more by what we do at home than by what we preach  abroad. Nothing we could do to help the developing countries would help  them half as much as a booming U.S. economy. And nothing our opponents  could do to encourage their own ambitions would encourage them half as much  as a chronic, lagging U.S. economy. These domestic tasks do not divert  energy from our security they provide the very foundation for freedom's  survival and success.  
1963_53	1963_53	Four special avenues of opportunity stand out: the Atlantic Alliance, the  developing nations, the new Sino_Soviet difficulties, and the search for  worldwide peace.  
1963_55	1963_55	First, how fares the grand alliance? Free Europe is entering into a new  phase of its long and brilliant history. The era of colonial expansion has  passed; the era of national rivalries is fading; and a new era of  interdependence and unity is taking shape. Defying the old prophecies of  Marx, consenting to what no conqueror could ever compel, the free nations  of Europe are moving toward a unity of purpose and power and policy in  every sphere of activity.  
1963_56	1963_56	For 17 years this movement has had our consistent support, both political  and economic. Far from resenting the new Europe, we regard her as a welcome  partner, not a rival. For the road to world peace and freedom is still  long, and there are burdens which only full partners can share in  supporting the common defense, in expanding world trade, in aligning our  balance of payments, in aiding the emergent nations, in concerting  political and economic policies, and in welcoming to our common effort  other industrialized nations, notably Japan, whose remarkable economic and  political development of the 1950's permits it now to play on the world  scene a major constructive role.  
1963_60	1963_60	We remain too near the Nassau decisions, and too far from their full  realization, to know their place in history. But I believe that, for the  first time, the door is open for the nuclear defense of the alliance to  become a source of confidence, instead of a cause of contention.  
1963_65	1963_65	Nevertheless it is hard for any nation to focus on an external or  subversive threat to its independence when its energies are drained in  daily combat with the forces of poverty and despair. It makes little sense  for us to assail, in speeches and resolutions, the horrors of communism, to  spend $50 billion a year to prevent its military advance and then to  begrudge spending, largely on American products, less than one_tenth of  that amount to help other nations strengthen their independence and cure  the social chaos in which communism has always thrived.  
1963_69	1963_69	I do not underestimate the difficulties that we face in this mutual effort  among our close neighbors, but the free states of this hemisphere, working  in close collaboration, have begun to make this alliance a living reality.  Today it is feeding one out of every four school age children in Latin  America an extra food ration from our farm surplus. It has distributed 1.5  million school books and is building 17,000 classrooms. It has helped  resettle tens of thousands of farm families on land they can call their  own. It is stimulating our good neighbors to more self_help and  self_reform fiscal, social, institutional, and land reforms. It is  bringing new housing and hope, new health and dignity, to millions who were  forgotten. The men and women of this hemisphere know that the alliance  cannot succeed if it is only another name for United States handouts that  it can succeed only as the Latin American nations themselves devote their  best effort to fulfilling its goals.  
1963_70	1963_70	This story is the same in Africa, in the Middle East, and in Asia. Wherever  nations are willing to help themselves, we stand ready to help them build  new bulwarks of freedom. We are not purchasing votes for the cold war; we  have gone to the aid of imperiled nations, neutrals and allies alike. What  we do ask and all that we ask is that our help be used to best advantage,  and that their own efforts not be diverted by needless quarrels with other  independent nations.  
1963_71	1963_71	Despite all its past achievements, the continued progress of the Mutual  Assistance Program requires a persistent discontent with present  performance. We have been reorganizing this program to make it a more  effective, efficient instrument and that process will continue this year.  
1963_73	1963_73	Neither money nor technical assistance, however, can be our only weapon  against poverty. In the end, the crucial effort is one of purpose,  requiring the fuel of finance but also a torch of idealism. And nothing  carries the spirit of this American idealism more effectively to the far  corners of the earth than the American Peace Corps.  
1963_75	1963_75	There are, in fact, nearly a million Americans serving their country and  the cause of freedom in overseas posts, a record no other people can match.  Surely those of us who stay at home should be glad to help indirectly; by  supporting our aid programs; .by opening our doors to foreign visitors and  diplomats and students; and by proving, day by day, by deed as well as  word, that we are a just and generous people.  
1963_78	1963_78	Nevertheless, while a strain is not a fracture, it is clear that the forces  of diversity are at work inside the Communist camp, despite all the iron  disciplines of regimentation and all the iron dogmatisms of ideology. Marx  is proven wrong once again: for it is the closed Communist societies, not  the free and open societies which carry within themselves the seeds of  internal disintegration.  
1963_80	1963_80	New nations asked to choose between two competing systems need only compare  conditions in East and West Germany, Eastern and Western Europe, North and  South Viet_Nam. They need only compare the disillusionment of Communist  Cuba with the promise of the Alliance for Progress. And all the world knows  that no successful system builds a wall to keep its people in and freedom  out and the wall of shame dividing Berlin is a symbol of Communist  failure.  
1963_81	1963_81	VII.  
1963_84	1963_84	But it also means improved air and missile defenses, improved civil  defense, a strengthened anti_guerrilla capacity and, of prime importance,  more powerful and flexible non_nuclear forces. For threats of massive  retaliation may not deter piecemeal aggression and a line of destroyers in  a quarantine, or a division of well_equipped men on a border, may be more  useful to our real security than the multiplication of awesome weapons  beyond all rational need.  
1963_90	1963_90	To achieve this end, the United States will continue to spend a greater  portion of its national production than any other people in the free world.  For 15 years no other free nation has demanded so much of itself. Through  hot wars and cold, through recession and prosperity, through the ages of  the atom and outer space, the American people have never faltered and their  faith has never flagged. If at times our actions seem to make life  difficult for others, it is only because history has made life difficult  for us all.  
1963_91	1963_91	But difficult days need not be dark. I think these are proud and memorable  days in the cause of peace and freedom. We are proud, for example, of Major  Rudolf Anderson who gave his life over the island of Cuba. We salute  Specialist James Allen Johnson who died on the border of South Korea. We  pay honor to Sergeant Gerald Pendell who was killed in Viet_Nam. They are  among the many who in this century, far from home, have died for our  country. Our task now, and the task of all Americans is to live up to their  commitment.  
1964_9	1964_9	Let us carry forward the plans and programs of John Fitzgerald Kennedy not  because of our sorrow or sympathy, but because they are right.  
1964_11	1964_11	For my part, I pledge a progressive administration which is efficient, and  honest and frugal. The budget to be submitted to the Congress shortly is in  full accord with this pledge.  
1964_12	1964_12	It will cut our deficit in half from $10 billion to $4,900 million. It  will be, in proportion to our national output, the smallest budget since  1951.  
1964_15	1964_15	But it is not a standstill budget, for America cannot afford to stand  still. Our population is growing. Our economy is more complex. Our people's  needs are expanding.  
1964_17	1964_17	This budget, and this year's legislative program, are designed to help each  and every American citizen fulfill his basic hopes his hopes for a fair  chance to make good; his hopes for fair play from the law; his hopes for a  full_time job on full_time pay; his hopes for a decent home for his family  in a decent community; his hopes for a good school for his children with  good teachers; and his hopes for security when faced with sickness or  unemployment or old age. III.  
1964_20	1964_20	It will not be a short or easy struggle, no single weapon or strategy will  suffice, but we shall not rest until that war is won. The richest Nation on  earth can afford to win it. We cannot afford to lose it. One thousand  dollars invested in salvaging an unemployable youth today can return  $40,000 or more in his lifetime.  
1964_23	1964_23	The program I shall propose will emphasize this cooperative approach to  help that one_fifth of all American families with incomes too small to even  meet their basic needs.  
1964_27	1964_27	Our aim is not only to relieve the symptom of poverty, but to cure it and,  above all, to prevent it. No single piece of legislation, however, is going  to suffice.  
1964_34	1964_34	We must extend the coverage of our minimum wage laws to more than 2 million  workers now lacking this basic protection of purchasing power.  
1964_38	1964_38	We must, as a part of a revised housing and urban renewal program, give  more help to those displaced by slum clearance, provide more housing for  our poor and our elderly, and seek as our ultimate goal in our free  enterprise system a decent home for every American family.  
1964_41	1964_41	These programs are obviously not for the poor or the underprivileged alone.  Every American will benefit by the extension of social security to cover  the hospital costs of their aged parents. Every American community will  benefit from the construction or modernization of schools, libraries,  hospitals, and nursing homes, from the training of more nurses and from the  improvement of urban renewal in public transit. And every individual  American taxpayer and every corporate taxpayer will benefit from the  earliest possible passage of the pending tax bill from both the new  investment it will bring and the new jobs that it will create.  
1964_42	1964_42	That tax bill has been thoroughly discussed for a year. Now we need action.  The new budget clearly allows it. Our taxpayers surely deserve it. Our  economy strongly demands it. And every month of delay dilutes its benefits  in 1964 for consumption, for investment, and for employment.  
1964_44	1964_44	I therefore urge the Congress to take final action on this bill by the  first of February, if at all possible. For however proud we may be of the  unprecedented progress of our free enterprise economy over the last 3  years, we should not and we cannot permit it to pause.  
1964_45	1964_45	In 1963, for the first time in history, we crossed the 70 million job mark,  but we will soon need more than 75 million jobs. In 1963 our gross national  product reached the $600 billion level $100 billion higher than when we  took office. But it easily could and it should be still $30 billion higher  today than it is.  
1964_51	1964_51	All members of the public should have equal access to facilities open to  the public. All members of the public should be equally eligible for  Federal benefits that are financed by the public. All members of the public  should have an equal chance to vote for public officials and to send their  children to good public schools and to contribute their talents to the  public good.  
1964_53	1964_53	We must also lift by legislation the bars of discrimination against those  who seek entry into our country, particularly those who have much needed  skills and those joining their families.  
1964_57	1964_57	First, we must maintain and our reduced defense budget will maintain that  margin of military safety and superiority obtained through 3 years of  steadily increasing both the quality and the quantity of our strategic, our  conventional, and our antiguerilla forces. In 1964 we will be better  prepared than ever before to defend the cause of freedom, whether it is  threatened by outright aggression or by the infiltration practiced by those  in Hanoi and Havana, who ship arms and men across international borders to  foment insurrection. And we must continue to use that strength as John  Kennedy used it in the Cuban crisis and for the test ban treaty to  demonstrate both the futility of nuclear war and the possibilities of  lasting peace.  
1964_66	1964_66	Eighth, we must strengthen the ability of free nations everywhere to  develop their independence and raise their standard of living, and thereby  frustrate those who prey on poverty and chaos. To do this, the rich must  help the poor and we must do our part. We must achieve a more rigorous  administration of our development assistance, with larger roles for private  investors, for other industrialized nations, and for international agencies  and for the recipient nations themselves.  
1965_1	1965_1	On this Hill which was my home, I am stirred by old friendships.  
1965_2	1965_2	Though total agreement between the Executive and the Congress is  impossible, total respect is important.  
1965_4	1965_4	I am not unaware of the inner emotions of the new Members of this body  tonight.  
1965_5	1965_5	Twenty_eight years ago, I felt as you do now. You will soon learn that you  are among men whose first love is their country, men who try each day to do  as best they can what they believe is right.  
1965_7	1965_7	Two hundred years ago, in 1765, nine assembled colonies first joined  together to demand freedom from arbitrary power.  
1965_8	1965_8	For the first century we struggled to hold together the first continental  union of democracy in the history of man. One hundred years ago, in 1865,  following a terrible test of blood and fire, the compact of union was  finally sealed.  
1965_10	1965_10	That struggle has often brought pain and violence. It is not yet over. But  we have achieved a unity of interest among our people that is unmatched in  the history of freedom.  
1965_14	1965_14	But the unity we seek cannot realize its full promise in  isolation. For today the state of the Union depends, in large measure, upon  the state of the world.  
1965_17	1965_17	Let the foes of freedom take no comfort from this. For in concert with  other nations, we shall help men defend their freedom.  
1965_21	1965_21	Our own freedom and growth have never been the final goal of the American  dream.  
1965_26	1965_26	In this period we have resolved in friendship our disputes with our  neighbors of the hemisphere, and joined in an Alliance for Progress toward  economic growth and political democracy.  
1965_30	1965_30	No longer can anyone wonder whether we are in the grip of historical decay.  We know that history is ours to make. And if there is great danger, there  is now also the excitement of great expectations.  
1965_32	1965_32	Yet we still live in a troubled and  perilous world. There is no longer a single threat. There are many. They  differ in intensity and in danger. They require different attitudes and  different answers.  
1965_38	1965_38	In Eastern Europe restless nations are slowly beginning to assert their  identity. Your Government, assisted by the leaders in American labor and  business, is now exploring ways to increase peaceful trade with these  countries and with the Soviet Union. I will report our conclusions to the  Congress.  
1965_41	1965_41	Second, our own security is tied to the peace of Asia. Twice in one  generation we have had to fight against aggression in the Far East. To  ignore aggression now would only increase the danger of a much larger war.  
1965_43	1965_43	What is at stake is the cause of freedom and in that cause America will  never be found wanting.  
1965_46	1965_46	With the free Republics of Latin America I have always felt and my country  has always felt very special ties of interest and affection. It will be  the purpose of my administration to strengthen these ties. Together we  share and shape the destiny of the new world. In the coming year I hope to  pay a visit to Latin America. And I will steadily enlarge our commitment to  the Alliance for Progress as the instrument of our war against poverty and  injustice in this hemisphere.  
1965_48	1965_48	This European policy is not based on any abstract design. It is based on  the realities of common interests and common values, common dangers and  common expectations. These realities will continue to have their  way especially, I think, in our expanding trade and especially in our  common defense.  
1965_50	1965_50	Free Europeans must shape the course of Europe. And, for the same reasons,  that course has been, and will be, in our interest and in the interest of  freedom.  
